log_id,sensor_id,timestamp,value,data_quality
83,362,18:54.7,1.3436,Suspect
84,853,24:32.2,33.478,Missing
85,612,00:24.7,40.1311,Suspect
86,153,35:59.3,60.7143,Suspect
87,277,21:45.9,88.2868,Suspect
88,703,17:22.0,37.259,Suspect
89,330,52:43.0,0.4274,Missing
90,923,27:35.3,5.868,Missing
91,607,14:39.8,0.2129,Missing
92,316,51:28.5,66.5545,Missing
93,36,31:00.4,10.882,Good
94,319,28:06.6,75.8182,Missing
95,934,48:49.2,30.8286,Suspect
96,628,43:04.1,2.8109,Good
97,126,54:02.2,15.8225,Missing
98,870,14:24.2,1.9224,Missing
99,912,24:19.3,14.7429,Missing
100,255,26:27.2,29.6479,Suspect
101,793,21:28.8,73.8798,Good
102,965,53:24.4,33.751,Suspect
103,624,10:48.6,28.8592,Suspect
104,753,24:48.0,48.8847,Suspect
105,27,18:21.2,13.5376,Suspect
106,917,04:30.4,89.1665,Suspect
107,582,18:35.5,84.7,Good
108,794,27:42.1,99.0338,Suspect
109,140,45:28.1,0.9044,Missing
110,502,53:04.6,68.2599,Suspect
111,784,29:58.9,44.2613,Good
112,84,48:06.3,44.4731,Good
113,755,36:28.9,55.0454,Missing
114,658,57:30.4,55.8814,Missing
115,996,15:00.2,86.8581,Missing
116,38,25:54.3,63.3853,Good
117,47,14:16.5,99.6586,Missing
118,954,44:43.4,97.2493,Suspect
119,198,13:56.8,8.5698,Suspect
120,814,26:56.6,74.3538,Good
121,287,45:46.1,74.5073,Good
122,183,17:33.2,3.6016,Suspect
123,852,44:45.9,38.97,Good
124,930,45:48.9,93.5077,Suspect
125,796,25:46.7,32.6371,Missing
126,678,03:31.9,97.5894,Good
127,72,09:02.9,9.179,Good
128,72,24:55.0,84.8561,Good
129,326,01:23.7,25.0928,Missing
130,839,15:39.9,72.3959,Suspect
131,632,28:32.4,70.7504,Missing
132,850,39:38.5,8.6356,Suspect
133,33,42:57.1,92.6513,Good
134,881,12:12.8,50.6212,Suspect
135,193,37:00.2,72.3299,Suspect
136,904,56:47.7,10.7994,Missing
137,86,50:15.7,18.0742,Suspect
138,815,32:27.0,30.6121,Suspect
139,994,51:57.5,30.5337,Missing
140,721,01:26.6,39.8613,Good
141,459,56:10.1,7.7699,Missing
142,298,57:33.6,41.1865,Missing
143,920,57:35.7,34.2288,Suspect
144,925,07:16.4,35.5546,Good
145,635,50:23.8,82.4742,Suspect
146,351,07:38.6,59.7368,Suspect
147,451,58:30.5,71.9573,Missing
148,966,46:24.3,10.1933,Good
149,126,13:23.7,13.7996,Missing
150,381,37:18.3,49.0333,Missing
151,602,19:27.4,14.3623,Missing
152,80,14:34.5,14.5237,Suspect
153,761,30:53.7,28.9452,Suspect
154,741,52:34.4,92.302,Missing
155,57,27:22.9,53.93,Good
156,358,06:45.6,88.7636,Suspect
157,591,44:44.4,89.0248,Missing
158,384,28:22.3,69.3096,Good
159,121,36:41.5,72.1917,Good
160,613,24:39.6,97.9953,Good
161,240,24:18.6,23.6112,Missing
162,726,07:56.5,50.3046,Good
163,231,16:19.4,56.4427,Missing
164,195,21:00.1,22.8828,Suspect
165,225,07:53.4,33.2218,Good
166,602,34:42.7,22.5937,Missing
167,625,26:05.5,40.7345,Suspect
168,732,38:24.2,43.4899,Good
169,834,35:47.7,60.018,Suspect
170,166,31:31.2,4.2248,Suspect
171,970,07:44.9,37.5592,Missing
172,479,59:28.4,95.8696,Suspect
173,376,36:19.5,45.2904,Missing
174,699,54:42.9,85.3034,Suspect
175,837,04:04.6,88.6528,Suspect
176,611,53:47.5,93.59,Missing
177,691,19:42.7,54.986,Good
178,576,50:24.5,5.688,Good
179,119,42:42.4,34.6731,Suspect
180,265,18:34.3,27.4495,Good
181,654,11:29.6,35.5996,Suspect
182,303,09:35.3,21.9259,Good
183,277,46:10.4,76.7821,Missing
184,151,31:44.5,0.1624,Missing
185,108,19:24.4,47.4989,Suspect
186,824,07:57.2,18.9638,Suspect
187,538,31:37.9,24.1828,Suspect
188,925,21:03.5,65.0786,Suspect
189,635,35:40.6,21.1641,Missing
190,653,32:21.8,48.6933,Suspect
191,921,53:41.3,53.0787,Good
192,426,55:37.2,8.548,Good
193,521,49:38.1,88.4411,Suspect
194,961,57:27.7,68.0922,Suspect
195,826,06:28.6,37.584,Missing
196,819,52:47.9,45.2324,Good
197,104,59:15.7,29.2784,Suspect
198,822,53:32.5,45.8255,Good
199,190,37:04.0,8.2191,Good
200,223,44:31.9,16.0484,Missing
201,830,08:53.7,96.7774,Good
202,17,18:51.4,38.4626,Suspect
203,965,32:57.9,23.9822,Suspect
204,108,44:36.8,11.9817,Good
205,325,00:04.1,32.8517,Suspect
206,552,42:57.1,24.1276,Good
207,598,43:00.1,30.6371,Good
208,134,59:08.5,22.0082,Good
209,480,16:38.1,47.1068,Suspect
210,846,48:15.2,87.7193,Good
211,187,49:58.9,14.9534,Good
212,566,08:06.1,42.6277,Suspect
213,505,18:05.5,99.643,Missing
214,883,07:21.5,20.9151,Good
215,871,12:32.8,13.4863,Suspect
216,438,41:31.0,49.5826,Missing
217,356,15:05.5,79.5987,Suspect
218,405,04:16.9,46.3008,Good
219,715,52:14.6,33.9816,Suspect
220,477,50:28.8,66.2163,Missing
221,7,05:14.0,33.3255,Suspect
222,942,39:23.3,82.4246,Suspect
223,880,27:36.6,73.3937,Good
224,438,49:11.3,80.6008,Missing
225,194,02:48.2,76.0238,Suspect
226,971,02:21.3,63.6908,Missing
227,130,00:50.2,40.5475,Suspect
228,595,14:21.7,25.098,Missing
229,932,00:44.0,37.4371,Suspect
230,514,27:22.9,26.8646,Missing
231,501,25:07.0,75.3431,Suspect
232,717,17:22.6,11.9985,Missing
233,175,47:58.6,64.8395,Missing
234,891,14:00.9,87.86,Suspect
235,821,59:14.2,16.9725,Missing
236,96,01:00.0,11.9249,Suspect
237,948,40:00.8,69.9028,Missing
238,865,43:35.9,9.0426,Missing
239,545,37:42.9,70.769,Suspect
240,260,29:05.0,81.5173,Missing
241,897,12:16.1,33.9644,Suspect
242,196,28:45.2,47.4708,Missing
243,89,04:59.4,6.6434,Suspect
244,258,11:15.0,70.4336,Missing
245,763,13:10.7,17.1559,Good
246,418,00:13.0,98.3629,Missing
247,782,04:47.6,90.2149,Missing
248,978,44:21.8,68.5366,Suspect
249,980,57:25.3,16.6367,Suspect
250,705,20:56.1,57.7676,Missing
251,441,13:28.5,67.148,Suspect
252,774,27:06.2,61.2847,Missing
253,47,05:06.5,67.1603,Missing
254,323,31:30.2,53.0817,Missing
255,987,58:13.0,46.3036,Missing
256,723,04:39.3,63.0095,Missing
257,451,54:29.6,10.1104,Suspect
258,490,00:08.0,95.744,Suspect
259,3,09:34.5,86.1795,Suspect
260,299,13:23.3,18.5494,Missing
261,660,45:32.6,0.0813,Good
262,844,30:57.8,60.5318,Missing
263,904,16:16.3,10.1503,Good
264,472,40:42.8,55.8762,Missing
265,210,45:15.7,31.3774,Good
266,218,16:06.7,23.431,Good
267,987,40:50.4,33.4295,Good
268,334,22:56.1,12.6519,Missing
269,897,47:34.6,97.8488,Good
270,407,19:35.4,61.4263,Missing
271,148,48:19.2,20.6115,Good
272,462,02:20.1,21.3784,Suspect
273,862,28:47.9,44.393,Suspect
274,453,17:20.2,53.2722,Good
275,543,46:35.2,82.02,Good
276,936,32:30.5,94.6961,Missing
277,667,58:52.0,15.6837,Suspect
278,582,19:39.4,54.7907,Suspect
279,370,58:05.1,82.5982,Good
280,434,47:41.3,83.3958,Suspect
281,54,30:13.7,69.1787,Good
282,98,16:09.2,44.8764,Suspect
283,825,32:30.9,29.2676,Suspect
284,310,35:36.9,35.2415,Missing
285,462,56:18.3,89.9071,Suspect
286,970,49:27.2,56.592,Suspect
287,340,14:18.6,56.8482,Good
288,819,57:16.3,44.4555,Missing
289,747,40:52.3,29.1849,Suspect
290,774,22:05.7,16.598,Good
291,545,16:41.3,46.5594,Suspect
292,986,48:17.5,14.759,Missing
293,966,38:32.8,39.5888,Good
294,132,25:51.1,43.6637,Good
295,415,43:36.1,83.2487,Suspect
296,620,12:37.2,81.9276,Good
297,633,12:52.0,36.8249,Missing
298,54,55:44.9,5.6785,Good
299,262,37:07.5,59.8928,Good
300,276,43:15.8,14.5333,Good
301,191,28:26.8,50.7813,Good
302,13,20:01.7,66.1949,Suspect
303,746,33:47.6,72.9464,Suspect
304,158,39:15.4,97.6436,Good
305,835,12:05.5,56.956,Missing
306,745,03:04.3,80.0173,Suspect
307,398,44:09.7,63.5524,Suspect
308,828,22:39.7,84.958,Suspect
309,800,50:01.8,88.025,Suspect
310,966,25:33.0,41.4792,Good
311,385,30:33.1,6.8407,Suspect
312,651,47:23.1,70.8187,Good
313,477,28:31.8,71.3213,Suspect
314,468,37:48.1,68.2214,Suspect
315,856,05:04.8,89.7154,Missing
316,161,03:18.1,1.7771,Missing
317,937,21:23.8,83.5093,Missing
318,411,41:55.6,44.383,Good
319,80,10:08.3,59.632,Suspect
320,326,11:17.4,78.6825,Good
321,415,48:48.5,19.8161,Good
322,726,00:53.7,53.6712,Suspect
323,32,28:11.7,18.3356,Missing
324,140,37:38.3,80.3392,Good
325,366,17:46.1,88.6992,Missing
326,778,16:19.7,14.7591,Missing
327,209,19:37.2,45.6611,Suspect
328,220,34:30.5,76.0174,Suspect
329,465,20:20.7,90.9056,Suspect
330,318,39:21.9,79.268,Good
331,69,11:58.0,77.8387,Good
332,238,27:59.3,20.6425,Missing
333,423,40:45.6,91.7751,Missing
334,663,07:34.7,14.0295,Suspect
335,772,18:30.4,93.2236,Suspect
336,389,32:33.9,76.986,Missing
337,524,44:29.1,72.8268,Missing
338,666,50:14.9,59.8509,Suspect
339,305,42:18.8,30.6161,Suspect
340,49,39:24.0,60.5638,Suspect
341,13,52:11.2,70.1319,Missing
342,535,24:04.1,91.4192,Suspect
343,881,49:25.6,9.2132,Suspect
344,385,01:47.8,6.3194,Good
345,582,57:59.4,90.7738,Good
346,649,59:28.9,63.5466,Suspect
347,791,23:59.0,66.7272,Missing
348,562,56:34.5,71.8362,Good
349,482,54:06.4,10.8915,Missing
350,462,16:18.7,74.5206,Suspect
351,521,56:16.2,48.0524,Good
352,529,57:40.7,14.1116,Good
353,44,48:50.6,18.3172,Good
354,628,11:26.3,81.9614,Suspect
355,347,02:09.9,79.8174,Missing
356,99,02:15.2,59.7712,Suspect
357,936,26:53.4,97.9163,Good
358,664,44:57.8,81.4155,Good
359,862,12:03.3,69.0166,Missing
360,840,17:17.2,48.3436,Suspect
361,873,26:16.0,45.3825,Good
362,966,22:04.1,95.6172,Missing
363,539,59:53.3,97.9708,Good
364,312,58:25.7,85.8135,Missing
365,669,18:35.5,18.1466,Suspect
366,168,20:36.0,78.2688,Missing
367,962,23:12.3,83.9526,Missing
368,130,07:25.0,22.963,Missing
369,398,49:46.5,72.8552,Suspect
370,558,56:50.8,9.064,Suspect
371,720,53:56.2,47.7112,Suspect
372,89,00:50.9,3.4558,Missing
373,625,34:33.0,10.7641,Good
374,585,58:13.9,88.1744,Missing
375,348,09:04.2,86.8278,Suspect
376,512,49:49.7,14.9239,Missing
377,740,15:55.2,97.2638,Suspect
378,515,16:45.2,39.2289,Suspect
379,876,51:33.7,46.6142,Suspect
380,492,08:45.8,86.0993,Suspect
381,919,44:46.4,60.7849,Suspect
382,835,31:46.7,21.1456,Suspect
383,182,52:57.6,7.4655,Missing
384,509,41:56.9,80.0015,Good
385,674,15:29.0,49.5888,Suspect
386,794,28:56.2,12.3933,Missing
387,611,09:13.8,54.5654,Suspect
388,6,17:27.7,64.9441,Missing
389,821,36:57.7,45.5586,Suspect
390,357,18:15.1,79.9671,Missing
391,767,55:23.3,60.6744,Suspect
392,931,01:11.8,75.8539,Missing
393,746,37:07.9,92.3332,Suspect
394,849,33:33.3,77.2547,Suspect
395,92,11:59.6,27.157,Missing
396,1000,37:18.5,59.3569,Good
397,985,09:12.7,19.1802,Suspect
398,671,01:12.6,4.7304,Suspect
399,508,29:10.9,81.9822,Suspect
400,714,53:15.5,52.0842,Missing
401,445,53:31.6,93.7555,Good
402,960,45:21.4,57.409,Suspect
403,326,21:24.7,87.8652,Good
404,758,04:29.4,24.9413,Missing
405,645,09:19.8,40.781,Suspect
406,410,38:55.5,56.3652,Suspect
407,631,10:24.8,91.9427,Good
408,625,17:46.3,77.9231,Suspect
409,280,49:18.4,99.1948,Suspect
410,988,02:41.0,70.6246,Suspect
411,970,50:00.4,61.7465,Good
412,959,08:48.5,59.3069,Good
413,281,44:48.5,61.66,Missing
414,434,30:18.0,42.2265,Good
415,284,49:09.8,27.1266,Missing
416,221,53:32.4,74.6,Good
417,607,34:46.7,11.789,Good
418,844,44:59.2,47.7885,Missing
419,657,29:33.4,76.2429,Suspect
420,456,20:14.2,40.01,Suspect
421,284,21:07.9,22.0817,Suspect
422,610,07:34.1,24.6286,Suspect
423,57,47:49.7,82.0243,Missing
424,415,02:35.2,36.6988,Suspect
425,453,22:39.4,40.715,Missing
426,636,49:43.7,12.5094,Missing
427,296,04:54.5,0.9922,Good
428,149,45:16.3,43.4641,Suspect
429,928,26:40.2,99.9184,Missing
430,702,54:56.8,59.0943,Suspect
431,137,12:48.3,78.5578,Suspect
432,419,36:03.0,83.8142,Good
433,769,33:03.3,38.2981,Good
434,537,55:30.2,80.629,Suspect
435,514,14:06.8,95.062,Missing
436,474,50:20.2,52.189,Good
437,132,56:33.3,73.976,Suspect
438,370,57:22.5,60.1488,Good
439,600,59:09.2,44.0935,Suspect
440,691,51:05.6,73.4523,Good
441,475,41:15.2,23.4611,Missing
442,297,32:10.2,33.7943,Good
443,514,20:57.4,31.6433,Suspect
444,648,05:08.7,34.853,Suspect
445,680,30:40.8,15.9846,Good
446,64,32:42.6,28.1524,Missing
447,513,23:09.8,15.7508,Good
448,806,27:31.5,7.1218,Suspect
449,656,50:03.1,91.653,Good
450,229,56:42.0,53.9579,Good
451,939,12:59.2,16.6847,Missing
452,924,33:28.7,82.252,Missing
453,894,10:00.1,74.8925,Suspect
454,590,34:28.3,50.8938,Missing
455,100,02:08.2,85.4178,Suspect
456,904,37:43.8,8.1263,Suspect
457,653,56:29.5,13.6227,Good
458,5,24:07.5,1.1199,Good
459,162,39:55.0,53.9369,Suspect
460,98,31:06.5,92.1939,Missing
461,594,12:51.7,74.9212,Missing
462,455,41:54.3,18.448,Suspect
463,403,52:35.7,60.1919,Suspect
464,480,21:36.9,11.8682,Good
465,718,56:05.6,86.5451,Good
466,431,58:26.7,47.4137,Missing
467,90,06:53.0,95.0776,Good
468,416,29:56.8,17.0805,Good
469,86,13:11.1,0.9313,Missing
470,331,49:40.1,46.5512,Good
471,530,46:51.8,42.1271,Suspect
472,842,57:11.2,68.3311,Good
473,593,26:56.0,92.3044,Missing
474,140,12:38.6,97.741,Suspect
475,225,17:30.5,21.058,Suspect
476,370,42:34.8,21.2859,Missing
477,987,26:34.7,68.395,Good
478,581,12:49.3,14.9843,Missing
479,185,48:54.8,63.926,Good
480,972,47:02.6,73.3911,Suspect
481,283,42:34.5,67.3163,Good
482,467,39:47.0,45.4997,Good
483,710,39:04.6,97.1542,Good
484,254,32:01.4,55.8197,Suspect
485,808,38:13.5,17.844,Missing
486,881,49:13.0,80.5349,Good
487,226,03:29.4,12.4864,Missing
488,893,36:02.7,0.313,Suspect
489,710,14:53.9,60.7237,Good
490,764,00:50.2,69.3233,Suspect
491,979,44:41.2,55.0816,Missing
492,112,05:42.6,20.9138,Suspect
493,898,24:47.1,93.5102,Missing
494,854,40:24.1,60.7266,Good
495,385,15:23.1,11.6863,Suspect
496,250,54:26.5,73.4809,Good
497,177,52:47.5,7.6459,Suspect
498,287,30:07.9,17.9734,Good
499,373,31:55.6,37.8632,Suspect
500,315,40:21.3,4.8559,Good
501,359,54:02.6,74.7132,Suspect
502,445,03:14.6,45.2991,Missing
503,399,11:03.1,72.784,Missing
504,146,23:22.5,85.231,Good
505,909,10:46.7,63.9792,Good
506,901,16:29.4,5.5929,Good
507,608,56:53.9,23.9203,Suspect
508,329,16:08.8,3.5384,Missing
509,58,37:43.1,49.4952,Good
510,404,33:34.3,47.1364,Suspect
511,652,19:27.2,89.499,Missing
512,267,20:03.8,76.5118,Good
513,88,04:22.0,61.1688,Good
514,204,25:43.6,59.2662,Good
515,726,01:35.7,43.3391,Missing
516,894,33:07.5,55.8372,Missing
517,187,43:41.7,33.7266,Missing
518,425,17:25.4,36.8551,Suspect
519,555,13:13.3,31.5093,Suspect
520,30,54:41.4,66.6033,Good
521,340,47:13.8,94.6879,Good
522,544,39:17.7,70.6365,Suspect
523,131,19:16.0,8.4512,Missing
524,60,55:54.1,62.213,Missing
525,419,12:15.6,35.3551,Good
526,137,20:18.9,60.5045,Missing
527,992,30:37.0,13.3026,Good
528,453,38:12.1,46.2766,Suspect
529,963,06:26.1,67.5075,Suspect
530,602,02:14.7,50.7421,Missing
531,405,11:13.0,15.9152,Missing
532,673,39:33.9,35.8084,Suspect
533,264,38:49.0,94.8033,Good
534,991,24:09.3,11.5984,Suspect
535,780,18:05.3,37.5249,Suspect
536,637,10:32.3,59.9838,Missing
537,12,42:24.1,19.0698,Missing
538,350,52:22.8,32.301,Suspect
539,260,01:58.3,64.949,Missing
540,491,51:06.0,51.1503,Missing
541,831,46:28.4,97.9717,Missing
542,842,33:10.6,59.4381,Suspect
543,33,41:05.1,99.7096,Good
544,880,46:09.8,10.4522,Suspect
545,89,55:32.2,96.5215,Good
546,230,28:45.5,59.2086,Missing
547,492,17:41.1,78.5031,Missing
548,857,23:01.5,26.8941,Good
549,172,36:01.4,87.0252,Good
550,505,37:15.2,11.4022,Suspect
551,252,45:01.5,87.324,Missing
552,369,34:09.4,82.2278,Suspect
553,965,41:19.6,89.641,Good
554,905,35:37.1,31.0751,Missing
555,758,48:36.3,67.7744,Missing
556,179,35:53.1,16.7515,Missing
557,449,07:56.8,16.1774,Suspect
558,613,45:56.7,9.8627,Good
559,774,44:06.6,37.5617,Missing
560,36,37:04.5,58.3491,Suspect
561,846,16:57.9,18.9973,Suspect
562,228,50:37.6,34.7727,Missing
563,586,34:32.0,66.6643,Missing
564,283,13:35.6,63.506,Good
565,380,52:19.6,98.6085,Good
566,514,26:36.2,77.45,Suspect
567,681,47:56.2,94.683,Missing
568,400,58:10.2,53.2975,Missing
569,287,48:01.9,63.3039,Suspect
570,213,50:40.4,91.5083,Good
571,981,10:36.6,46.9283,Suspect
572,984,36:53.2,80.7933,Good
573,649,51:55.8,15.5606,Missing
574,374,51:07.7,10.3874,Missing
575,205,33:10.7,37.88,Good
576,826,49:31.3,59.4781,Good
577,746,24:23.1,56.5153,Suspect
578,236,17:51.5,44.8715,Suspect
579,338,36:58.4,8.5408,Good
580,88,47:08.1,56.5145,Suspect
581,307,06:00.0,22.2848,Good
582,539,31:30.7,89.2672,Suspect
583,508,09:23.6,78.4467,Suspect
584,814,53:55.8,10.8043,Suspect
585,449,12:10.0,71.3998,Good
586,46,02:35.2,73.6206,Good
587,266,46:10.2,48.5073,Good
588,341,50:33.3,30.1199,Suspect
589,428,23:33.6,99.2825,Suspect
590,352,34:10.9,0.8848,Suspect
591,910,54:51.6,96.4196,Suspect
592,98,19:50.7,27.6627,Suspect
593,481,31:28.5,63.878,Suspect
594,881,43:32.1,77.713,Suspect
595,599,01:57.3,97.5441,Good
596,343,56:38.8,36.0242,Good
597,341,11:17.1,59.066,Good
598,67,25:58.6,7.8326,Good
599,279,28:43.5,96.7704,Suspect
600,929,05:22.9,36.8525,Good
601,306,24:55.5,68.2072,Missing
602,720,26:43.5,71.5796,Missing
603,49,08:46.9,26.7018,Good
604,68,49:58.2,36.513,Suspect
605,27,07:28.0,29.8706,Missing
606,159,02:24.1,9.1478,Good
607,836,44:06.2,87.4324,Suspect
608,116,16:08.5,15.7702,Missing
609,924,19:06.1,66.6237,Good
610,647,56:54.4,51.2255,Good
611,479,41:20.2,61.8953,Good
612,474,24:16.9,0.8734,Good
613,658,04:30.5,87.8402,Missing
614,815,42:26.4,92.3211,Suspect
615,6,27:21.8,58.3684,Good
616,461,27:52.8,19.4514,Missing
617,668,45:11.9,56.2902,Good
618,643,31:22.1,62.2274,Missing
619,478,36:17.7,83.5669,Good
620,299,52:35.6,4.0814,Good
621,448,48:22.7,62.7356,Missing
622,953,32:27.9,46.096,Good
623,768,01:33.7,3.9286,Good
624,980,49:38.5,15.4448,Suspect
625,392,12:48.2,19.5972,Missing
626,145,04:43.7,98.0045,Suspect
627,932,34:17.5,28.0093,Missing
628,827,15:57.6,27.4644,Missing
629,755,49:39.5,19.445,Missing
630,266,29:06.8,5.7285,Missing
631,662,45:23.2,75.9857,Missing
632,757,16:58.6,63.847,Missing
633,261,38:11.7,65.061,Missing
634,310,17:36.6,13.4221,Missing
635,963,56:43.7,75.4628,Suspect
636,966,48:28.0,89.704,Good
637,728,09:06.0,38.0881,Missing
638,486,49:05.8,19.1132,Good
639,520,57:31.8,46.5532,Good
640,833,04:33.4,40.5732,Good
641,669,52:39.0,1.2412,Suspect
642,172,55:10.2,81.0928,Missing
643,375,32:26.5,46.3016,Good
644,276,46:43.4,71.776,Missing
645,410,59:40.1,93.6035,Suspect
646,424,24:57.0,21.1493,Good
647,383,51:04.6,9.8471,Good
648,464,49:12.0,80.1581,Suspect
649,953,59:50.0,73.4987,Suspect
650,984,31:31.1,74.6595,Missing
651,49,19:54.2,15.77,Missing
652,588,36:55.1,25.2822,Suspect
653,465,40:39.7,72.5009,Good
654,966,31:13.5,92.3306,Good
655,264,50:26.5,33.4466,Good
656,414,10:12.4,57.9631,Good
657,741,47:55.6,67.4306,Missing
658,292,45:12.1,21.2628,Missing
659,128,45:50.8,45.3787,Suspect
660,421,44:33.5,32.6898,Suspect
661,477,35:54.3,56.4547,Suspect
662,280,06:56.5,7.3619,Suspect
663,764,21:50.8,15.2447,Suspect
664,162,16:58.7,32.0847,Suspect
665,205,00:28.6,43.7124,Suspect
666,264,26:47.3,58.6022,Good
667,814,17:31.4,49.1626,Suspect
668,529,49:22.8,75.037,Suspect
669,227,25:21.3,23.2946,Missing
670,725,09:01.0,28.3837,Good
671,161,50:52.7,18.7064,Suspect
672,503,28:18.1,87.4676,Good
673,399,24:05.0,2.521,Good
674,723,41:26.9,73.4943,Suspect
675,678,13:48.2,78.5401,Good
676,204,23:48.6,76.8014,Good
677,692,04:21.8,87.8704,Missing
678,720,21:06.6,12.9023,Missing
679,341,20:17.2,84.5245,Suspect
680,238,22:04.5,42.1081,Good
681,60,07:54.5,63.488,Suspect
682,588,44:12.8,98.4421,Suspect
683,314,27:13.9,35.3988,Good
684,806,32:30.2,7.8655,Suspect
685,734,03:15.2,58.9034,Missing
686,705,15:21.8,98.7176,Good
687,156,41:55.7,11.3754,Suspect
688,543,25:12.7,34.5948,Good
689,151,31:23.8,45.1974,Suspect
690,744,45:52.8,20.9388,Missing
691,240,50:49.4,5.2784,Suspect
692,617,15:45.5,61.03,Good
693,505,06:58.1,1.5124,Suspect
694,501,21:26.4,73.2386,Missing
695,303,54:39.3,70.7864,Suspect
696,429,57:44.8,43.8011,Missing
697,307,58:54.4,28.7337,Suspect
698,321,17:29.6,2.2026,Missing
699,101,07:31.6,3.0189,Missing
700,543,22:15.6,15.2526,Good
701,823,13:00.2,65.8981,Suspect
702,211,40:42.6,45.8578,Suspect
703,210,05:41.3,88.6263,Missing
704,120,48:45.9,65.409,Suspect
705,903,37:58.8,18.1963,Missing
706,249,48:46.0,9.5921,Suspect
707,12,50:22.8,75.1117,Missing
708,596,51:46.7,14.5212,Suspect
709,627,33:35.8,78.4034,Missing
710,77,32:37.5,27.2077,Suspect
711,949,43:42.3,82.39,Suspect
712,128,27:06.1,17.6225,Good
713,954,07:20.3,20.4816,Good
714,447,23:33.0,62.9154,Good
715,655,08:43.2,45.1312,Good
716,896,17:24.8,10.2366,Missing
717,962,20:53.6,64.5671,Suspect
718,962,58:59.1,42.5926,Good
719,91,31:06.5,7.6415,Missing
720,31,51:25.2,2.4793,Missing
721,407,51:36.2,83.2419,Suspect
722,743,28:36.7,10.4039,Missing
723,942,18:29.6,28.8586,Suspect
724,115,33:32.7,60.1478,Good
725,484,33:41.1,23.395,Good
726,416,09:52.5,53.8327,Missing
727,181,33:41.9,84.1548,Good
728,682,00:30.4,21.9147,Suspect
729,449,31:44.7,35.3643,Missing
730,46,22:46.9,81.6423,Missing
731,521,39:34.7,0.9918,Suspect
732,320,30:52.4,67.2542,Suspect
733,87,29:16.8,6.273,Missing
734,938,55:11.2,55.6013,Suspect
735,310,56:21.8,62.559,Good
736,868,12:21.2,0.1347,Missing
